Job_ID,Date,Company Name,Job_Title,Location,Description,Link
1,1/14/2022,Cinda Logika spelling ,Web Developer ,"Bandar Lampung, Lampung, Indonesia On-site","Responsibilities : Design and create web-based applications.  Qualifice :  D3 / S1 Education Informatics Engineering or Information System. Having a minimum of 1 year experience working in the programming field. Mastering PHP Framework (CodeIgniter). Mastering a database such as: MySQL or SQL Server.  Able to work in a team or individual,  Have a good attitude in the work environment.  Have good communication skills.  Not being bound by work or education. Placement (on site) in Bandar Lampung ",https://linkedin.com/jobs/view/2876991945/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=zEWRlceNwtEJ5oKF03%2BcSA%3D%3D&trackingId=tLHuIMj%2FhBHQf2a5o9vE1A%3D%3D&trk=flagship3_search_srp_jobs
2,1/11/2022,Mandiri Informatics Solutions (MSI) ,Web programs ,"Yogyakarta, Yogyakarta, Indonesia On-site","Description : Do the application maintenance remote online and direct visits to clients, adding existing application features to make work activities reports using the company management system provided by men's work requirements, minimum age 25 years, minimum D3 / S1 Information System / Information Technique. Minimum 3 Months Mastering PHP Native, Framework (Min CodeIgniter), MySQL Database, HTML, CSS can show Project Samples. Can Work Individuals / Discipline Teams and Responsible Full Time (5 working days) employment contracts, potentially extended ",https://linkedin.com/jobs/view/2870730849/?eBP=JOB_SEARCH_ORGANIC&refId=6Lraa0inYHZUyopYzmKEnA%3D%3D&trackingId=TWqL7ghx3fAcQBkhshu8Aw%3D%3D&trk=flagship3_search_srp_jobs
3,1/11/2022,PT. True partner innovation ,Web Developer ,"Jakarta, Indonesia On-site","IT Support Developer is responsible to investigate and resolve support cases quickly and effectively. The key focus is to improve the client experience, working with other internal teams to readily resolve client issues.  Job Requirements 1. Bachelor's Degree/Diploma in Computer Science, Informatics System, Information Technology or equivalent from reputable university. 2. Minimum 1 year working experience in programming/ development system 3. Programming skill(s): ASP.net, .NET, C#, MVC. Plus Point if had experience in Angular and API. 4. Database and Reporting skill(s) : PL/SQL, SQL Server, Crystal Report 5. Working in software development team 6. Ability to work under pressure. 7. Great attitude, initiative, and diligent 8. Fast learner and willing to learn 9. Multi-finance and Banking experience is a plus 10. Fresh Graduate are welcome to apply 11. Willing to be located at Alam Sutera - Tangerang  Job Description 1. Responsible for maintaining support level agreement from client 2. Maintain and enhance existing application 3. Test and fix bugs 4. Conducts code reviews and application reviews  Benefit 1. Incentive 2 times in a year 2. BPJS Tenaga Kerja and BPJS Kesehatan ",https://linkedin.com/jobs/view/2872135883/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=6Lraa0inYHZUyopYzmKEnA%3D%3D&trackingId=np3deF6zqcUwZk%2FtBMPgsw%3D%3D&trk=flagship3_search_srp_jobs
4,1/11/2022,Ciputra Group. ,Web programs ,"Surabaya, East Java, Indonesia On-site","Posted by  William Fibrianto Hoesada  Head of Department Information and Communication Technology at Citra Foundation Blessings (Citra Kasih School & Citra Berkat), Work at Ciputra University Surabaya  Send Inmail  Send Your CV for Web Programmer Officer https://lnkd.in/ghtmvzmf     Work for: picture foundation blessing     Job: Full Timer Officer Programmer     Office: University of Ciputra Surabaya. Condition :  - Having a minimum experience of mastering the SDLC method in making web applications using PHP with the Framework Codelgniter, HTML5, CSS3, and JQuery  - Having experience makes OOP in PHP  - Have experience with Web Developer Tools in the latest browser (like Firebug) to debug on the client side  - Have experience in making mobile apps, especially with flutter  - Having experience using MySQL as a database engine in the SDLC method, optimization and the use of queries in the use of large data  - Have the ability to cooperate with the team  - Have good communication skills     QUALIFICATION  Age.  20 - 35. Gender  Female / Male. Educational Level  S1. Job :  Make and Maintain Application (Web & Mobile Apps)  Making and Maintenance of CIS & Elearn Applications for Academic Department (TK, SD, SMP, SMA, TLC, SDC) - Academic Team.  Manufacture and maintenance of the CIS application in the field of ERP - ERP team. Work Day  Monday - Friday ",https://linkedin.com/jobs/view/2872592454/?eBP=JOB_SEARCH_ORGANIC&refId=6Lraa0inYHZUyopYzmKEnA%3D%3D&trackingId=FNbKcIchSdiUrtvfwWBAYQ%3D%3D&trk=flagship3_search_srp_jobs
5,1/11/2022,PT. True partner innovation ,Web Developer ,"Jakarta, Indonesia On-site","IT Support Developer is responsible to investigate and resolve support cases quickly and effectively. The key focus is to improve the client experience, working with other internal teams to readily resolve client issues.  Job Requirements 1. Bachelor's Degree/Diploma in Computer Science, Informatics System, Information Technology or equivalent from reputable university. 2. Minimum 1 year working experience in programming/ development system 3. Programming skill(s): ASP.net, .NET, C#, MVC. Plus Point if had experience in Angular and API. 4. Database and Reporting skill(s) : PL/SQL, SQL Server, Crystal Report 5. Working in software development team 6. Ability to work under pressure. 7. Great attitude, initiative, and diligent 8. Fast learner and willing to learn 9. Multi-finance and Banking experience is a plus 10. Fresh Graduate are welcome to apply 11. Willing to be located at Alam Sutera - Tangerang. Job Description 1. Responsible for maintaining support level agreement from client 2. Maintain and enhance existing application 3. Test and fix bugs 4. Conducts code reviews and application reviews  Benefit 1. Incentive 2 times in a year 2. BPJS Tenaga Kerja and BPJS Kesehatan ",https://linkedin.com/jobs/view/2872135883/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=6Lraa0inYHZUyopYzmKEnA%3D%3D&trackingId=np3deF6zqcUwZk%2FtBMPgsw%3D%3D&trk=flagship3_search_srp_jobs
6,1/11/2022,PT. True partner innovation ,Web Developer ,"Jakarta, Indonesia On-site","Posted by  Retno Oktafianti  Support Supervisor at PT. Inovasi Mitra Sejati  Send InMail IT Support Developer is responsible to investigate and resolve support cases quickly and effectively. The key focus is to improve the client experience, working with other internal teams to readily resolve client issues.  Job Requirements 1. Bachelor's Degree/Diploma in Computer Science, Informatics System, Information Technology or equivalent from reputable university. 2. Minimum 1 year working experience in programming/ development system 3. Programming skill(s): ASP.net, .NET, C#, MVC. Plus Point if had experience in Angular and API. 4. Database and Reporting skill(s) : PL/SQL, SQL Server, Crystal Report 5. Working in software development team 6. Ability to work under pressure. 7. Great attitude, initiative, and diligent 8. Fast learner and willing to learn 9. Multi-finance and Banking experience is a plus 10. Fresh Graduate are welcome to apply 11. Willing to be located at Alam Sutera - Tangerang  Job Description 1. Responsible for maintaining support level agreement from client 2. Maintain and enhance existing application 3. Test and fix bugs 4. Conducts code reviews and application reviews  Benefit 1. Incentive 2 times in a year 2. BPJS Tenaga Kerja and BPJS Kesehatan ",https://linkedin.com/jobs/view/2872136596/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6Lraa0inYHZUyopYzmKEnA%3D%3D&trackingId=dwV4sSFjnmlt41M45n9KZg%3D%3D&trk=flagship3_search_srp_jobs
7,1/11/2022,Purwadhiya Digital School Technology ,Web Developer Lecturer (full time) ,"Jakarta, Indonesia Remote","Posted by  Yollavenda Mutiara A.  HR Recruitment at Purwadhika Digital Technology School | Human Resources | We're Always Hiring!  Send InMail  Purwadhika is now looking for Full Stack Web Development Lecturer who wants to join our team and grow with us! . 1+ years of experience in industry as software developer Exceptional communication and verbal skill Have strong interest in education and passion for teaching Additional point if you have previous background in teaching and/or mentoring aspiring developer Proficient with programing tools and concepts such as JavaScript, HTML, CSS, SASS, or ECMAScript Exceptional knowledge & experience in React-Js and Express-Js Exceptional knowledge & experience in Server-side rendering technology using Next-Js and basic understanding about SEO Good knowledge of SQL and No-SQL database, structure, and its query language Familiar with database management tools such as MySQL and MongoDB, including its ORM library such as mongoose and sequelize Hand-on experience in Agile software development Additional point if familiar with JavaScript unit testing, docker, source code management, and CI/CD Willing to remote work and FULL TIME (Mon-Fri at 9AM-6PM) Two years contract based ",https://linkedin.com/jobs/view/2874338071/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6Lraa0inYHZUyopYzmKEnA%3D%3D&trackingId=O7WRJn0vKuXmVyHoeP5PIQ%3D%3D&trk=flagship3_search_srp_jobs
8,1/11/2022,Detikcom. ,Web Developer ,"Jakarta, Indonesia Hybrid","Web Developers are responsible for converting a software program design into a set of instructions that computers can follow. This requires proficiency in a variety of common programming languages. The position requires a technology-savvy professional who is able to work in a small-group team setting and also communicate and collaborate cross-function with the other divisions in the organization. Web programmers are responsible for designing & implementing (ie: coding) web applications based on certain functional specifications. They will work closely with Web Designers & Product Owners. The position requires the ability to work in a small-group team setting and also communicate and collaborate cross-function with other divisions in the organization.     Qualifications :  Must possess at least a Bachelor's Degree in computer science, must have a basic technical knowledge of Web Programming and have strong object-oriented programming experience with PHP & JavaScript (Fresh Graduates are welcome to apply) [Proficient with PHP & Javascript, and have in-depth practical experience in one of these frameworks: Phalcon, Laravel, Yii, or CI] [Having knowledge in another language such as Python, Ruby, ActionScript, Bash, etc is a plus] Must be familiar with Linux Operation, W3C Standard, website technology update and have knowledge in programming languages and environments including CSS, HTML, XML, and Json (understanding JavaScript, AJAX, Action Script and Ruby will be an advantage) [Familiar with any Linux distro is non-negotiable. It will be your daily OS here.] [Familiar with CSS, HTML, XML, & Json is a must] Having technical knowledge of Source Code Management Revision Control such as Subversion, Git, etc. [Experience with Git or Github is mandatory] Preferably having 2 - 3 years of working experience in a similar position [Have involved in minimum 4 full-cycle web-based software projects as professional web programmer ] Excellent knowledge of MySQL or PostgreSQL databases [Excellent knowledge of MySQL or PostgreSQL databases, along with their SQL language standard] [Keeping up to date with web development technologies and have the idea of how that will shape userâ€™s experience] ",https://linkedin.com/jobs/view/2871884064/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6Lraa0inYHZUyopYzmKEnA%3D%3D&trackingId=AXCQUC7x1D6Z6x3yO4kd4w%3D%3D&trk=flagship3_search_srp_jobs
9,1/11/2022,Purwadhiya Digital School Technology ,Web Developer Lecturer (Full Time) ,"Jakarta, Jakarta, Indonesia","Job Requirements : 1+ years of experience in industry as software developer Exceptional communication and verbal skill Have strong interest in education and passion for teaching Additional point if you have previous background in teaching and/or mentoring aspiring developer Proficient with programing tools and concepts such as JavaScript, HTML, CSS, SASS, or ECMAScript Exceptional knowledge & experience in React-Js and Express-Js Exceptional knowledge & experience in Server-side rendering technology using Next-Js and basic understanding about SEO Good knowledge of SQL and No-SQL database, structure, and its query language Familiar with database management tools such as MySQL and MongoDB, including its ORM library such as mongoose and sequelize Hand-on experience in Agile software development Additional point if familiar with JavaScript unit testing, docker, source code management, and CI/CD Willing to remote work and FULL TIME (Mon-Fri at 9AM-6PM) Two years contract based  If you're having questions about this job, hit me through message or email me at recruitment@purwadhika.com  Can't wait to collaborate with you! ",https://linkedin.com/jobs/view/2874768961/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6Lraa0inYHZUyopYzmKEnA%3D%3D&trackingId=lgKMD2mIDawWwjk7QZ3x%2FQ%3D%3D&trk=flagship3_search_srp_jobs
10,1/10/2022,Pitjarus Teknologi ,WEB DEVELOPER ,"Bekasi, West Java, Indonesia On-site","Requirements:  Minimum a Diploma of Information Technology .Good skill in HTML, CSS and Javascript .Framework (Jquery/AJAX/Angular JS) are a mandatory .Minimum 1 year experience in software development. Experience in using Codeigniter, Node.js, MySQL and PostgreSQL Good knowledge in developing API and familiar with REST, JSON, etc Experience with Git and Agile (SCRUM) software development is a plus Willing to work in Jatiasih-Bekasi and on a work-from-office mode. Task : Design, develop, test and maintain highly scalable data infrastructure Discuss and solve problem with team Add features to existing applications Collaborate with other teams Work on bug fixing and improve application performance ",https://linkedin.com/jobs/view/2870343533/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=6Lraa0inYHZUyopYzmKEnA%3D%3D&trackingId=kb9OiEs0DkQ5vC1UkAhp4g%3D%3D&trk=flagship3_search_srp_jobs
11,1/14/2022,Peter Helderop ,Web Developer ,Southeast Asia Remote,"Posted by  Pieter Helderop  E3D System Admin open for new position.  Send InMail I search for a person with JQuiry, PHP Mysql , JavaScript , JSON, I am doing a project and getting out of my reach, so i need some help :-) It is on temporary base and you can work remote. ",https://linkedin.com/jobs/view/2877155140/?eBP=JOB_SEARCH_ORGANIC&refId=8LWdNxpxjiHCgBe10lNnig%3D%3D&trackingId=oiIHCC3Ulm5i9L%2FV2TVXOw%3D%3D&trk=flagship3_search_srp_jobs
